question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes,short_answer
1040,How do we increase revenue (based on favorite product)?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue increase; optimization Revenue optimization; growth strategy,
1156,How do you think TikTok should monetize?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Monetization strategy; revenue optimization,
1235,How would you 10x Duolingo?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Growth strategy; revenue optimization,
1236,How would you 10x Google Cloud IoT?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Growth strategy; revenue optimization,
1251,How would you approach pricing for a new product?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Pricing strategy; revenue optimization,
1279,How would you convince Facebook-only users to also use Instagram?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",User acquisition; growth strategy Revenue optimization; growth strategy,
1283,How would you create a marketing strategy for a Google bus,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Marketing strategy; growth strategy Revenue optimization; growth strategy,
1324,How would you develop a strategy to acquire more users for Uber?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",User acquisition; growth strategy Revenue optimization; growth strategy,
1360,How would you get more drivers to use the red food bag provided by DoorDash over a weekend?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Driver adoption; growth strategy Revenue optimization; growth strategy,
1363,How would you grow Microsoft Copilot by 10x?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Growth strategy; revenue optimization,
1364,How would you grow the virtual card number feature?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Feature growth; revenue optimization,
1365,"How would you grow WeRize's agent network from 5,000 to 50,000?",🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Network growth; growth strategy Revenue optimization; growth strategy,
1395,How would you improve fill rate for Flipkart banners?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Fill rate improvement; revenue optimization,
1419,How would you improve supply on Zomato?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Supply optimization; revenue optimization,
1440,How would you improve the usage of Revolut's cross-border payment feature?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Feature usage; revenue optimization,
1453,How would you incentivize more driver presence?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Driver incentives; revenue optimization,
1454,"How would you increase adoption of Office for web, considering its limitations compared to the desktop version?",🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Adoption strategy; growth strategy Revenue optimization; growth strategy,
1455,How would you increase Amazon Prime's revenue by 20%?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue growth; revenue optimization,
1458,How would you increase per user spending by 25% on an e-commerce website?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Spending increase; revenue optimization,
1459,How would you increase revenue and market share for Skype?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue growth; revenue optimization,
1460,"How would you increase revenue for a UPI product (Unified Payments Interface), an Indian instant payment system?",🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue growth; revenue optimization,
1461,How would you increase sales of Google's wireless headset?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Sales growth; revenue optimization,
1462,How would you increase Spotify Premium subscribers?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Subscriber growth; revenue optimization,
1463,How would you increase the Average Order Value (AOV) for Swiggy?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",AOV increase; revenue optimization,
1464,How would you increase the average order value of a food delivery platform?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",AOV increase; revenue optimization,
1482,How would you leverage discovery features like search to acquire users for TikTok Shop?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",User acquisition; growth strategy Revenue optimization; growth strategy,
1486,How would you market Github's Copilot inline citation feature?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Marketing strategy; growth strategy Revenue optimization; growth strategy,
1519,How would you monetize Google Assistant?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Monetization strategy; revenue optimization,
1520,How would you monetize the Quitsure app?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Monetization strategy; revenue optimization,
1532,How would you price Amazon Prime?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Pricing strategy; revenue optimization,
1533,How would you price buying a season of a show on YouTube?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Pricing strategy; revenue optimization,
1534,How would you price the Amazon Kindle at launch?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Pricing strategy; revenue optimization,
1535,How would you price YouTube Premium?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Pricing strategy; revenue optimization,
1577,How would you triple the revenue of Craigslist over the next 5 years?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue growth; revenue optimization,
1578,How would you triple the revenue of Google Photos?,🟢,P14,Revenue Optimization / Growth,"Levers (Price, Volume, Mix) → Test → Measure → Iterate",Revenue growth; revenue optimization,
